raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
35,1,1,4,4,4,5,5,5,0,
35,10,7,2,3,10,6,6,6,1,
35,5,1,6,2,5,7,7,7,-2,
35,15,7,5,1,2,8,8,8,0,
35,17,9,14,0,12,9,9,9,2,
35,2,2,10,0,8,10,10,10,-4,
35,9,2,9,0,13,11,11,11,-5,
35,3,3,12,0,18,12,12,12,5,
35,18,11,11,0,17,13,13,13,3,
35,7,5,13,0,9,14,14,14,1,
35,22,11,16,0,15,15,15,15,4,
35,16,10,17,0,20,16,16,16,5,
35,6,3,18,0,16,17,17,17,-1,
35,21,10,15,0,19,18,18,18,3,
36,8,6,1,10,1,1,1,1,0,
36,4,1,2,8,2,2,2,2,-2,
36,1,1,3,6,4,3,3,3,1,
36,2,2,6,5,3,4,4,4,1,
36,21,4,7,4,6,5,5,5,0,
36,13,6,8,3,22,6,6,6,4,
36,3,3,5,2,12,7,7,7,0,
36,23,7,12,1,9,8,8,8,1,
36,15,7,13,0,8,9,9,9,-1,
36,5,4,10,0,13,10,10,10,2,
36,22,11,14,0,16,11,11,11,2,
36,11,8,18,0,10,12,12,12,0,
36,17,9,9,0,7,13,13,13,0,
36,24,5,15,0,19,14,14,14,0,
36,18,11,17,0,14,15,15,15,1,
36,19,8,19,0,11,16,16,16,-10,
36,16,12,20,0,20,17,17,17,-2,
37,4,1,2,10,2,1,1,1,1,
37,1,1,1,8,4,2,2,2,2,
37,8,6,4,6,3,3,3,3,-1,
37,2,2,5,5,5,4,4,4,0,
37,13,6,3,4,1,5,5,5,-2,
37,21,4,9,3,12,6,6,6,4,
37,15,7,10,2,8,7,7,7,-1,
37,5,4,7,1,11,8,8,8,1,
37,25,3,8,0,19,9,9,9,1,
37,17,9,14,0,10,10,10,10,-1,
37,22,11,15,0,22,11,11,11,2,
37,18,11,16,0,15,12,12,12,-1,
37,11,8,13,0,14,13,13,13,-5,
37,26,5,18,0,17,14,14,14,3,
37,23,7,19,0,9,15,15,15,-4,
37,19,8,20,0,18,16,16,16,3,
37,24,5,12,0,16,17,17,17,-1,
37,9,2,17,0,7,18,18,18,1,
38,13,6,1,10,1,1,1,1,0,
38,1,1,2,8,2,2,2,2,0,
38,8,6,3,6,3,3,3,3,-1,
38,2,2,5,5,5,4,4,4,0,
38,4,1,4,4,4,5,5,5,1,
38,9,2,6,3,6,6,6,6,0,
38,15,7,7,2,9,7,7,7,-1,
38,21,4,8,1,7,8,8,8,0,
38,5,4,10,0,12,9,9,9,3,
38,3,3,11,0,10,10,10,10,-3,
38,25,3,16,0,11,11,11,11,0,
38,23,7,15,0,14,12,12,12,-4,
38,22,11,14,0,15,13,13,13,-1,
38,27,12,20,0,22,14,14,14,3,
38,16,12,19,0,20,15,15,15,0,
38,19,8,17,0,13,16,16,16,1,
39,13,6,1,10,1,1,1,1,0,
39,1,1,2,8,4,2,2,2,2,
39,4,1,3,6,2,3,3,3,-2,
