DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
30,Michael Schumacher,"1,4,1,1,1,8,2,10,6,7,1,6,3,1,1,2,9,10,2,1,6,10,2,1,1,1,1,5,3,3,4,1,1,2,3,2,6,4,6,5,7,3,2,1,1,10,1,1,1,4,12,2,2,1,1,1,2,1,1,1,5,1,2,2,11,4,1,3,1,3,1,1,5,1,1,1,1,3,2,6,1,4,1,2,3,1,2,4,9,9,7,1,5,1,7,1,5,2,4,1,2,3,9,7,8,2,1,8,2,1,2,1,4,9,11,1,11,2,1,1,2,1,1,1,2,1,7,5,7,1,10,2,1,2,4,1,1,6,1,3,5,9,5,6,1,12,10,8,4,4,7,1,2,1,2,3,5,3,1,1,3,3,7,15,7,1,5,1,5,2,1,1,2,2,1,8,1,2,1,1,1,1,1,2,2,2,1,2,7,1,8,1,1,1,2,1,2,1,2,6,6,11,1,3,3,",1,15,1,2,5,3,3.0
31,Juan Pablo Montoya,"6,5,2,2,4,4,2,12,2,5,13,7,4,2,2,2,5,4,1,3,8,2,4,6,1,5,2,3,4,2,5,1,2,4,3,11,8,14,3,1,5,2,1,5,1,1,5,7,8,2,2,3,3,7,4,7,4,2,",1,14,2,4,5,4,3.0
32,Christian Klien,"7,11,8,10,8,14,13,11,8,9,12,11,14,15,14,8,9,10,13,9,6,11,13,13,5,9,14,22,12,14,9,12,",5,22,9,11,13,11,3.1622776601683795
33,Tiago Monteiro,"16,13,12,17,10,16,12,15,13,14,10,13,16,17,17,9,13,8,17,11,15,12,15,16,13,16,13,",8,17,12,13,16,13,2.4494897427831779
34,Yuji Ide,"13,",13,13,13,13,13,13,0.0
35,Jacques Villeneuve,"6,13,9,4,5,2,7,8,5,11,12,7,3,6,1,3,14,11,4,7,5,9,15,10,2,11,8,9,4,4,4,2,8,14,10,4,8,16,7,1,1,15,9,3,8,3,3,9,12,3,1,1,6,8,8,7,15,5,2,11,6,9,6,8,5,7,10,11,12,10,6,10,7,7,1,8,13,12,9,10,8,1,1,12,4,7,5,4,11,12,10,10,6,9,6,1,2,",1,16,4,7,10,7,3.7416573867739413
36,Franck Montagny,"16,16,18,",16,18,16,16,16,16,1.0
37,Pedro de la Rosa,"8,6,12,10,22,5,20,11,19,10,6,12,7,9,14,11,11,12,20,6,14,21,2,13,11,16,15,7,22,16,11,18,5,14,18,5,21,8,8,8,17,10,8,6,11,12,13,18,",2,22,8,11,16,12,5.0990195135927845
38,Robert Doornbos,"18,13,18,12,14,12,13,14,",12,18,13,14,18,14,2.2360679774997898
39,Narain Karthikeyan,"15,11,21,21,13,21,17,15,14,15,21,16,23,12,11,20,19,23,22,15,18,16,12,15,",11,23,15,16,21,16,3.872983346207417
