raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
25,12,4,10,2,9,7,7,7,1,
25,10,7,13,0,8,11,11,11,2,
25,14,9,12,0,7,9,9,9,-4,
25,17,9,6,3,6,6,6,6,-1,
25,9,2,4,4,5,5,5,5,0,
25,15,7,7,6,4,3,3,3,1,
25,4,4,8,1,3,8,8,8,-1,
25,13,6,2,10,2,1,1,1,0,
25,8,6,1,8,1,2,2,2,0,
26,3,3,16,0,20,9,9,9,4,
26,21,10,17,0,19,,17,R,4,
26,16,10,18,0,18,,18,R,7,
26,18,11,10,0,17,,15,R,5,
26,22,11,11,6,16,3,3,3,6,
26,6,3,14,1,15,8,8,8,1,
26,15,7,13,2,14,7,7,7,7,
26,7,5,9,0,13,11,11,11,0,
26,10,7,15,0,12,12,12,12,3,
26,14,9,,0,11,,20,R,-999,
26,9,2,12,0,10,,14,R,2,
26,13,6,8,0,9,13,13,13,-8,
26,20,5,,0,8,,19,R,-999,
26,12,4,7,0,7,,16,R,2,
26,4,4,6,3,6,6,6,6,0,
26,2,2,2,8,5,2,2,2,1,
26,1,1,3,10,4,1,1,1,2,
26,8,6,1,5,3,4,4,4,0,
26,17,9,4,0,2,10,10,10,-16,
26,5,1,5,4,1,5,5,5,0,
27,21,10,20,0,20,16,16,16,1,
27,16,10,18,0,19,15,15,15,-1,
27,22,11,19,0,18,,18,R,1,
27,12,4,9,8,17,2,2,2,-1,
27,6,3,17,0,16,14,14,14,0,
27,7,5,10,0,15,12,12,12,3,
27,18,11,16,0,14,17,17,17,1,
27,3,3,15,0,13,10,10,10,-1,
27,2,2,1,5,12,4,4,4,1,
27,10,7,7,0,11,,20,R,1,
27,14,9,11,0,10,13,13,13,-5,
27,20,5,8,1,9,8,8,8,1,
27,17,9,14,0,8,,19,R,-1,
27,9,2,6,2,7,7,7,7,3,
27,8,6,3,3,6,6,6,6,-1,
27,4,4,13,0,5,11,11,11,-1,
27,15,7,12,0,4,9,9,9,-1,
