raceId,driverId,constructorId,rank,points,grid,position,positionOrder,firstLapChange,pitStops
37,24,5,12,0,16,17,17,-1,
37,9,2,17,0,7,18,18,1,
37,3,3,6,0,6,,19,-1,
37,14,9,11,0,13,,20,1,
37,27,12,21,0,20,,21,-1,
37,16,12,,0,21,,22,-999,
38,13,6,1,10,1,1,1,0,
38,1,1,2,8,2,2,2,0,
38,8,6,3,6,3,3,3,-1,
38,2,2,5,5,5,4,4,0,
38,4,1,4,4,4,5,5,1,
38,9,2,6,3,6,6,6,0,
38,15,7,7,2,9,7,7,-1,
38,21,4,8,1,7,8,8,0,
38,5,4,10,0,12,9,9,3,
38,3,3,11,0,10,10,10,-3,
38,25,3,16,0,11,11,11,0,
38,23,7,15,0,14,12,12,-4,
38,22,11,14,0,15,13,13,-1,
38,27,12,20,0,22,14,14,3,
38,16,12,19,0,20,15,15,0,
38,19,8,17,0,13,16,16,1,
38,17,9,12,0,8,,17,0,
38,14,9,9,0,21,,18,6,
38,11,8,18,0,17,,19,3,
38,24,5,13,0,18,,20,1,
38,18,11,,0,16,,21,-999,
38,26,5,,0,19,,22,-999,
39,13,6,1,10,1,1,1,0,
39,1,1,2,8,4,2,2,2,
39,4,1,3,6,2,3,3,-2,
39,9,2,5,5,5,4,4,0,
39,14,9,8,4,9,5,5,2,
39,3,3,10,3,11,6,6,2,
39,5,4,4,2,8,7,7,0,
39,11,8,12,1,13,8,8,0,
39,21,4,9,0,10,9,9,-2,
39,22,11,14,0,12,10,10,2,
39,19,8,15,0,15,11,11,-3,
39,18,11,13,0,14,12,12,3,
39,16,12,16,0,20,13,13,3,
39,27,12,18,0,21,14,14,1,
39,2,2,7,0,7,,15,1,
39,23,7,11,0,17,,16,-4,
39,24,5,17,0,16,,17,1,
39,26,5,20,0,22,,18,8,
39,8,6,6,0,3,,19,0,
39,15,7,19,0,6,,20,-13,
39,17,9,21,0,19,,21,3,
39,25,3,,0,18,,22,-4,
40,4,1,1,10,1,1,1,0,
40,1,1,2,8,2,2,2,0,
40,13,6,4,6,3,3,3,0,
40,21,4,5,5,4,4,4,0,
40,9,2,3,4,8,5,5,-1,
40,2,2,12,3,7,6,6,2,
40,25,3,7,2,11,7,7,1,
40,8,6,6,1,16,8,8,4,
40,26,5,10,0,18,9,9,4,
40,22,11,13,0,9,10,10,2,
40,18,11,9,0,10,11,11,-1,
40,3,3,11,0,5,12,12,-1,
40,5,4,14,0,15,13,13,-1,
40,14,9,8,0,13,14,14,-2,
40,15,7,18,0,14,15,15,-4,
40,23,7,17,0,20,16,16,-2,
40,11,8,15,0,21,17,17,4,
40,19,8,16,0,17,18,18,-2,
40,27,12,20,0,22,19,19,1,
40,16,12,19,0,19,,20,-1,
40,17,9,21,0,6,,21,-2,
40,24,5,,0,12,,22,-1,
41,1,1,2,10,1,1,1,0,
41,2,2,3,8,3,2,2,1,
41,25,3,11,6,19,3,3,4,
41,5,4,13,5,22,4,4,4,
41,8,6,5,4,4,5,5,-2,
41,11,8,12,3,11,6,6,1,
41,4,1,1,2,2,7,7,-1,
41,23,7,10,1,18,8,8,-1,
41,17,9,9,0,6,9,9,-3,
41,3,3,6,0,7,10,10,2,
41,19,8,15,0,17,11,11,0,
41,22,11,14,0,13,12,12,0,
41,15,7,17,0,10,,13,-1,
41,24,5,19,0,12,,14,0,
41,27,12,18,0,21,,15,0,
41,14,9,16,0,14,,16,0,
41,9,2,8,0,8,,17,0,
41,16,12,20,0,20,,18,0,
41,26,5,21,0,16,,19,0,
41,18,11,,0,15,,20,-999,
41,13,6,4,0,5,,21,1,
41,21,4,7,0,9,,22,2,
