DriverID,Points,ConstructorID,ConstructorName,TotalPoints,NumberOfDrivers,AveragePoints,NumberOfCollaborations
20,40.0,5,Toro Rosso,2425.0,452,220.45454545454547,2
20,807.0,6,Ferrari,2425.0,2140,220.45454545454547,3
20,1577.0,9,Red Bull,2425.0,490,220.45454545454547,6
21,151.0,4,Renault,275.0,669,19.642857142857142,3
21,0.0,6,Ferrari,275.0,2140,19.642857142857142,1
21,8.0,10,Force India,275.0,382,19.642857142857142,2
21,22.0,15,Sauber,275.0,747,19.642857142857142,1
21,39.0,17,Jordan,275.0,500,19.642857142857142,3
21,0.0,18,Minardi,275.0,672,19.642857142857142,1
21,55.0,22,Benetton,275.0,520,19.642857142857142,4
22,51.0,3,Williams,658.0,1379,34.63157894736842,2
22,412.0,6,Ferrari,658.0,2140,34.63157894736842,6
22,41.0,11,Honda,658.0,152,34.63157894736842,3
22,46.0,17,Jordan,658.0,500,34.63157894736842,4
22,77.0,23,Brawn,658.0,34,34.63157894736842,1
22,31.0,24,Stewart,658.0,98,34.63157894736842,3
23,232.0,3,Williams,329.0,1379,29.90909090909091,6
23,70.0,7,Toyota,329.0,280,29.90909090909091,3
23,27.0,17,Jordan,329.0,500,29.90909090909091,2
24,4.0,5,Toro Rosso,26.0,452,4.333333333333333,2
24,1.0,9,Red Bull,26.0,490,4.333333333333333,1
24,21.0,10,Force India,26.0,382,4.333333333333333,2
24,0.0,164,HRT,26.0,116,4.333333333333333,1
25,6.0,1,McLaren,45.0,1625,7.5,1
25,13.0,3,Williams,45.0,1379,7.5,1
25,26.0,22,Benetton,45.0,520,7.5,4
26,0.0,5,Toro Rosso,0.0,452,0.0,2
27,0.0,12,Spyker,4.0,34,1.3333333333333333,1
27,0.0,13,MF1,4.0,28,1.3333333333333333,1
27,0.0,14,Spyker MF1,4.0,8,1.3333333333333333,1
